GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tickets,com.cinema.tickets,TicketsApplication,5,7,0,0,2,2,1,2,1,2
tickets,com.cinema.tickets.api.mapper,PoltronaMapper,3,20,0,0,1,3,1,3,1,3
tickets,com.cinema.tickets.api.mapper,FilmeMapper,3,20,0,0,1,3,1,3,1,3
tickets,com.cinema.tickets.api.mapper,IngressoMapper,3,20,0,0,1,3,1,3,1,3
tickets,com.cinema.tickets.api.mapper,EmailMapper,3,20,0,0,1,3,1,3,1,3
tickets,com.cinema.tickets.api.mapper,ExibicaoMapper,3,20,0,0,1,3,1,3,1,3
tickets,com.cinema.tickets.api.mapper,ClienteMapper,3,20,0,0,1,3,1,3,1,3
tickets,com.cinema.tickets.api.mapper,SalaMapper,3,20,0,0,1,3,1,3,1,3
tickets,com.cinema.tickets.common.config,ModelMapperConfig,0,7,0,0,0,2,0,2,0,2
tickets,com.cinema.tickets.common.config,EmailConfig,0,21,0,0,0,7,0,2,0,2
tickets,com.cinema.tickets.common.config,MongoConfig,0,23,0,0,0,9,0,4,0,4
tickets,com.cinema.tickets.common.config,OpenApiConfig,0,35,0,0,0,7,0,3,0,3
tickets,com.cinema.tickets.security.handler,CustomAuthenticationFailureHandler,79,0,0,0,18,0,2,0,2,0
tickets,com.cinema.tickets.api.controller,EmailController,0,43,0,0,0,11,0,2,0,2
tickets,com.cinema.tickets.api.controller,FilmeController,0,142,0,2,0,30,0,9,0,8
tickets,com.cinema.tickets.api.controller,ExibicaoController,5,220,1,9,1,43,1,10,0,6
tickets,com.cinema.tickets.api.controller,IngressoController,0,83,0,0,0,19,0,5,0,5
tickets,com.cinema.tickets.api.controller,SalaController,0,125,0,2,0,27,0,6,0,5
tickets,com.cinema.tickets.api.controller,ClienteController,171,156,4,2,37,33,4,9,2,8
tickets,com.cinema.tickets.api.controller,PoltronaController,0,112,0,0,0,22,0,7,0,7
tickets,com.cinema.tickets.domain.collection,Email,0,45,0,0,0,20,0,13,0,13
tickets,com.cinema.tickets.domain.collection,Endereco,24,52,0,0,9,23,1,15,1,15
tickets,com.cinema.tickets.domain.collection,Role,9,17,0,0,4,8,1,5,1,5
tickets,com.cinema.tickets.domain.collection,Filme,0,52,0,0,0,23,0,15,0,15
